p1,p2,PB6
5,443,196249.0113
5,449,201601.0111
5,457,208849.0109
5,461,212521.0108
5,463,214369.0108
5,467,218089.0107
5,479,229441.0104
5,487,237169.0103
5,491,241081.0102
5,499,249001.01
5,503,253009.0099
5,509,259081.0098
5,521,271441.0096
5,523,273529.0096
5,541,292681.0092
5,547,299209.0091
7,2,7.5
7,3,11.3333
7,5,26.4
7,11,121.6364
7,13,169.5385
7,17,289.4118
7,19,361.3684
7,23,529.3043
7,29,841.2414
7,31,961.2258
7,37,1369.1892
7,41,1681.1707
7,43,1849.1628
7,47,2209.1489
7,53,2809.1321
7,59,3481.1186
7,61,3721.1148
7,67,4489.1045
7,71,5041.0986
7,73,5329.0959
7,79,6241.0886
7,83,6889.0843
7,89,7921.0787
7,97,9409.0722
7,101,10201.0693
7,103,10609.068
7,107,11449.0654
7,109,11881.0642
7,113,12769.0619
7,127,16129.0551
7,131,17161.0534
7,137,18769.0511
7,139,19321.0504
7,149,22201.047
7,151,22801.0464
7,157,24649.0446
7,163,26569.0429
7,167,27889.0419
7,173,29929.0405
7,179,32041.0391
7,181,32761.0387
7,191,36481.0366
7,193,37249.0363
7,197,38809.0355
7,199,39601.0352
7,211,44521.0332
7,223,49729.0314
7,227,51529.0308
7,229,52441.0306
7,233,54289.03
7,239,57121.0293
7,241,58081.029
7,251,63001.0279
7,257,66049.0272
7,263,69169.0266
7,269,72361.026
7,271,73441.0258
7,277,76729.0253
7,281,78961.0249
7,283,80089.0247
7,293,85849.0239
7,307,94249.0228
7,311,96721.0225
7,313,97969.0224
7,317,100489.0221
7,331,109561.0211
7,337,113569.0208
7,347,120409.0202
7,349,121801.0201
7,353,124609.0198
7,359,128881.0195
7,367,134689.0191
7,373,139129.0188
7,379,143641.0185
7,383,146689.0183
7,389,151321.018
7,397,157609.0176
7,401,160801.0175
7,409,167281.0171
7,419,175561.0167
7,421,177241.0166
7,431,185761.0162
7,433,187489.0162
7,439,192721.0159
7,443,196249.0158
7,449,201601.0156
7,457,208849.0153
7,461,212521.0152
7,463,214369.0151
7,467,218089.015
7,479,229441.0146
7,487,237169.0144
7,491,241081.0143
7,499,249001.014
7,503,253009.0139
7,509,259081.0138
7,521,271441.0134
7,523,273529.0134
7,541,292681.0129
7,547,299209.0128
11,2,9.5
11,3,12.6667
11,5,27.2
11,7,50.5714
11,13,169.8462
11,17,289.6471
11,19,361.5789
11,23,529.4783
11,29,841.3793
11,31,961.3548
11,37,1369.2973
11,41,1681.2683
11,43,1849.2558
11,47,2209.234
11,53,2809.2075
11,59,3481.1864
11,61,3721.1803
11,67,4489.1642
11,71,5041.1549
11,73,5329.1507
11,79,6241.1392
11,83,6889.1325
11,89,7921.1236
11,97,9409.1134
11,101,10201.1089
11,103,10609.1068
11,107,11449.1028
11,109,11881.1009
11,113,12769.0973
11,127,16129.0866
11,131,17161.084
11,137,18769.0803
11,139,19321.0791
11,149,22201.0738
11,151,22801.0728
11,157,24649.0701
11,163,26569.0675
11,167,27889.0659
11,173,29929.0636
11,179,32041.0615
11,181,32761.0608
11,191,36481.0576
11,193,37249.057
11,197,38809.0558
11,199,39601.0553
11,211,44521.0521
11,223,49729.0493
11,227,51529.0485
11,229,52441.048
11,233,54289.0472
11,239,57121.046
11,241,58081.0456
11,251,63001.0438
11,257,66049.0428
11,263,69169.0418
11,269,72361.0409
11,271,73441.0406
11,277,76729.0397
11,281,78961.0391
11,283,80089.0389
11,293,85849.0375
11,307,94249.0358
11,311,96721.0354
11,313,97969.0351
11,317,100489.0347
11,331,109561.0332
11,337,113569.0326
11,347,120409.0317
11,349,121801.0315
11,353,124609.0312
11,359,128881.0306
11,367,134689.03
11,373,139129.0295
11,379,143641.029
11,383,146689.0287
11,389,151321.0283
11,397,157609.0277
11,401,160801.0274
11,409,167281.0269
11,419,175561.0263
11,421,177241.0261
11,431,185761.0255
11,433,187489.0254
11,439,192721.0251
11,443,196249.0248
11,449,201601.0245
11,457,208849.0241
11,461,212521.0239
11,463,214369.0238
11,467,218089.0236
11,479,229441.023
11,487,237169.0226
11,491,241081.0224
11,499,249001.022
11,503,253009.0219
11,509,259081.0216
11,521,271441.0211
11,523,273529.021
11,541,292681.0203
11,547,299209.0201
